TIMESTAMP X(mg) Y(mg) Z(mg)
599618622317206144 -957 189 357
599618622327206144 -950 191 359
599618622337206144 -951 190 358
599618622347206144 -955 190 356
599618622357206144 -958 185 353
599618622367206144 -961 182 345
599618622377206144 -961 183 345
599618622387206144 -960 185 343
599618622397206144 -960 190 337
599618622407206144 -961 195 337
599618622417206144 -956 196 338
599618622427206144 -965 196 343
599618622437206144 -971 195 343
599618622447206144 -976 192 341
599618622457206144 -982 190 350
599618622467206144 -986 189 354
599618622477206144 -986 193 351
599618622487206144 -980 197 345
599618622497206144 -974 206 345
599618622507206144 -969 213 343
599618622517206144 -962 210 337
599618622527206144 -957 207 335
599618622537206144 -951 205 331
599618622547206144 -946 201 329
599618622557206144 -946 198 326
599618622567206144 -950 197 322
599618622577206144 -957 194 321
599618622587206144 -959 190 327
599618622597206144 -962 187 334
599618622607206144 -958 182 341
599618622617206144 -961 181 355
599618622627206144 -964 182 363
599618622637206144 -966 187 363
599618622647206144 -967 193 361
599618622657206144 -966 198 359
599618622667206154 -965 204 357
599618622677074432 -962 206 357
599618622686942720 -961 208 350
599618622696811136 -961 203 344
599618622706679424 -963 201 340
599618622716547712 -965 197 338
599618622726416128 -966 199 338
599618622736284416 -967 199 336
599618622746152832 -967 199 345
599618622756021120 -965 201 347
599618622765889408 -966 202 351
599618622775757824 -971 204 350
599618622785626112 -971 201 345
599618622795494400 -968 203 324
599618622805362816 -963 200 330
599618622815231104 -954 197 350
599618622825099392 -953 196 356
599618622834967808 -963 197 344
599618622844836096 -968 199 337
599618622854704512 -965 197 343
599618622864572800 -960 194 348
599618622874441088 -959 193 352
599618622884309504 -964 194 351
599618622894177792 -965 195 355
599618622904046080 -966 195 352
599618622913914496 -968 193 351
599618622923782784 -966 190 351
599618622933651072 -966 187 354
599618622943519488 -964 189 352
599618622953387776 -966 192 350
599618622963256192 -966 194 344
599618622973124480 -964 196 346
599618622982992768 -963 196 347
599618622992861184 -961 195 345
599618623002729472 -962 194 345
599618623012597760 -959 194 344
599618623022466202 -957 194 345
599618623032331136 -959 194 347
599618623042196096 -962 195 347
599618623052061056 -963 198 348
599618623061926016 -965 197 345
599618623071790848 -962 200 346
599618623081655808 -964 198 350
599618623091520768 -964 196 353
599618623101385728 -966 198 340
599618623111250688 -965 198 338
599618623121115648 -966 194 334
599618623130980608 -967 198 340
599618623140845568 -966 197 344
599618623150710400 -966 197 343
599618623160575360 -964 198 343
599618623170440320 -961 195 349
599618623180305280 -960 197 351
599618623190170240 -963 195 350
599618623200035200 -964 194 346
599618623209900160 -966 194 342
599618623219765120 -966 194 341
599618623229629952 -967 193 341
599618623239494912 -965 193 343
599618623249359872 -966 190 344
599618623259224832 -965 192 346
599618623269089792 -963 194 343
599618623278954752 -963 195 341
599618623288819712 -963 198 342
599618623298684544 -964 196 342
599618623308549504 -962 198 344
599618623318414464 -964 194 343
599618623328279424 -966 193 346
599618623338144384 -967 194 346
599618623348009344 -966 192 347
599618623357874304 -966 195 347
599618623367739264 -963 197 342
599618623377604164 -965 195 339
599618623387473408 -963 193 341
599618623397342592 -965 194 337
599618623407211776 -966 190 343
599618623417080960 -967 190 342
599618623426950144 -966 191 343
599618623436819328 -966 194 341
599618623446688512 -964 198 338
599618623456557696 -965 201 337
599618623466426880 -963 199 340
599618623476296064 -964 195 342
599618623486165248 -965 195 341
599618623496034432 -965 192 340
599618623505903616 -963 192 342
599618623515772800 -963 195 339
599618623525641984 -967 196 342
599618623535511168 -971 198 340
599618623545380352 -969 201 335
599618623555249536 -966 197 327
599618623565118720 -958 192 342
599618623574987904 -952 187 360
599618623584857088 -962 188 349
599618623594726272 -969 192 339
599618623604595456 -970 196 326
599618623614464640 -969 197 327
599618623624333824 -965 196 332
599618623634203008 -962 199 341
599618623644072192 -962 199 349
599618623653941376 -964 199 351
599618623663810560 -963 195 351
599618623673679744 -963 193 352
599618623683548928 -961 191 351
599618623693418112 -963 192 346
599618623703287296 -966 193 342
599618623713156480 -967 193 342
599618623723025664 -965 195 340
